basin	model	experiment	variant	year	total_tc	rate_per_year_per_realization
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2015	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2016	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2017	122	1.220000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2018	208	2.080000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2019	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2020	95	0.950000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2021	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2022	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2023	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2024	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2025	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2026	106	1.060000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2027	95	0.950000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2028	209	2.090000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2029	97	0.970000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2030	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2031	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2032	293	2.930000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2033	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2034	98	0.980000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2035	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2036	91	0.910000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2037	102	1.020000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2038	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2039	94	0.940000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2040	275	2.750000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2041	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2042	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2043	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2044	192	1.920000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2045	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2046	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2047	109	1.090000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2048	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2049	174	1.740000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2050	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2051	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2052	105	1.050000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2053	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2054	108	1.080000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2055	208	2.080000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2056	106	1.060000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2057	83	0.830000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2058	88	0.880000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2059	89	0.890000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2060	108	1.080000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2061	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2062	181	1.810000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2063	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2064	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2065	112	1.120000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2066	87	0.870000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2067	94	0.940000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2068	216	2.160000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2069	97	0.970000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2070	203	2.030000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2071	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2072	194	1.940000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2073	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2074	209	2.090000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2075	211	2.110000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2076	111	1.110000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2077	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2078	97	0.970000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2079	193	1.930000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2080	89	0.890000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2081	299	2.990000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2082	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2083	102	1.020000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2084	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2085	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2086	89	0.890000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2087	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2088	106	1.060000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2089	186	1.860000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2090	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2091	0	0.000000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2092	101	1.010000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2093	77	0.770000
AS	AWI-CM-1-1-MR	ssp245	r1i1p1f1	2094	0	0.000000
